id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier,סוג_מגן,צבע_דומיננטי,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,color_1,color_2,color_3,color_4,color_5,lat,lng
kiryat-gat,קריית-גת,Kiryat Gat,city,south,jewish,found,yes,no,60582,עיר,מגן,ירוק,חומה,גלגל שיניים,פרח,,,,,,,,,,הצבע הירוק מאפיין את השדות הירוקים,הצבע האדום זכר לנופלים במלחמת הקוממיות,החומה מסמלת ביצורי רחבעם מלך יהודה,ענף כותנה מסמל את הגידול החקלאי ותעשיית הטקסטיל,ב-2009 הוצעה החלפת הסמל בשל דמיון לדגל איראן,,,,ירוק,אדום,,,,31.61,34.7642
karmiel,כרמיאל,Karmiel,city,north,jewish,found,yes,no,46311,עיירה,מגן,כחול,מגן,כלנית,שמש,הר,,,,,,,1971,,אומץ ביולי 1971,כלנית בצבע אדום היא פרח הבר הנפוץ ביותר באזור,סלעים מסמלים את ראשיתה של העיר,ב-2010 חברת שיר שפיצר חידשה את מיתוג העיר,"הסמל החדש שימש לתקופה קצרה והוחלף במיתוג ""כרמיאל לגדול ולגדל""",,,,כחול,לבן,,,,32.9143,35.2984
tiberias,טבריה,Tiberias,city,north,jewish,found,yes,no,,מועצה מקומית,מגן,כחול,מגן,גלים,דקל,מזרקה,חומה,,,,,,1957,גדעון קייך,אומץ ב-24 בדצמבר 1957 ואושר על ידי משרד הפנים בנובמבר 1958,זכה בפרס ראשון של 350 לירות בתחרות שנפתחה ב-1950,מקום שני בתחרות זכה המעצב צבי נרקיס,המזרקה מסמלת את חמי טבריה והמעיינות החמים,חומות ומבנים מנגידים את העיר העתיקה והעיר המודרנית,הסמל עודכן גרפית ב-2017,ב-2022 עוצב סמליל ממותג צבעוני,הסמל הופיע על בול דואר ב-1965 בעיצוב האחים שמיר,כחול,לבן,,,,32.794,35.532
rosh-haayin,ראש-העין,Rosh HaAyin,city,center,jewish,found,yes,no,71651,עיר,מגן,כחול,מגן,קרני אור,מזרקה,עץ,,,,,,,1968,אהרון אלקלעי ומרדכי יצהרי,אושר בישיבת המועצה ב-1 בדצמבר 1968,עוצב על ידי אהרון אלקלעי מדריך ציור ומרדכי יצהרי סופר ומשורר,"כנפי נשרים מבוססות על ""ואשא אתכם על כנפי נשרים"" (שמות י""ט, ד')","קרני האור יוצרות דוגמת ""מרבד הקסמים""",הסמל מזכיר את מבצע על כנפי נשרים ועלייה מתימן,המזרקה מסמלת את מעיינות ראש העין ומקורות הירקון,,,כחול,צהוב,לבן,,,32.0956,34.9553
ariel,אריאל,Ariel,city,judea-samaria,jewish,found,yes,no,20000,עיירה,מגן,כחול,מגן,הר,שמש,,,,,,,,1978,דליה לוי,עוצב על ידי תושבת העיר דליה לוי בתחרות שערכה המועצה המקומית,הרי שומרון בתחתית הסמל,זריחת שמש מעל ההרים בחלק העליון,במקור עוצב בצבעי חום וכתום,,,,,כחול,לבן,,,,32.1058,35.1671
hod-hasharon,הוד-השרון,Hod HaSharon,city,center,jewish,found,yes,no,65363,עיר,מגן,ירוק,מגן,עץ,הדר,גלגל שיניים,,,,,,,,,מגן ירוק ולבן עם חלק תחתון אדום,עץ הדר בצורת גלגל שיניים צומח מהחלק האדום,בתחתית שמותיהן של ארבע המושבות שהתאחדו ב-1964,,,,,,ירוק,אדום,לבן,,,32.154,34.8972
nof-hagalil,נוף-הגליל,Nof HaGalil,city,north,jewish,found,yes,no,47000,עיירה,מגן,לבן,מגן,פרח,מסגד,חומה,גלגל שיניים,זית,כתר,,,,2019,,אומץ ביוני 2019,פרח אירוס במרכז,צריח וכתר מעל האירוס,חומה וגלגל תעשייה בצבע אדום,ענפי זית משני הצדדים כסמל ישראל,,,,לבן,אדום,ירוק,,,32.7006,35.3272
harish,חריש,Harish,city,haifa,jewish,found,yes,no,25000,עיירה,מגן,כחול,מגן,עץ,,,,,,,,,,,מגן עם מסגרת כחולה ושדה לבן,שם העירייה בראש,סמליל עצים ובתים על גבעה בתחתית,,,,,,כחול,לבן,,,,32.4586,35.0397
migdal-haemek,מגדל-העמק,Migdal HaEmek,city,north,jewish,found,yes,no,26000,עיירה,מגן,ירוק,מגן,הר,שדה,גלגל שיניים,זית,,,,,,,,יישוב על הר הצופה על שדות חרושים,תחתית הסמל בצורת גלגל שיניים מסמל תעשייה,ענף זית מסמל שלום,,,,,,ירוק,לבן,,,,32.6745,35.2398
nesher,נשר,Nesher,city,haifa,jewish,found,yes,no,23000,עיירה,מגן,לבן,מגן,גבעה,עץ,מפעל,ארובה,חומה,ציפור,,,,1962,דוד הולוד,עוצב על ידי דוד הולוד ואושר ב-24 באוקטובר 1962,ציפור נשר בצורת כתר מייצגת את שם העיר,ארבע גבעות מסמלות את ארבעת היישובים שהרכיבו את העיר,מפעל וארובה מסמלים את מפעל המלט,חומת לבנים הרוסה מסמלת בניית שיכונים לעולים על חורבות כפרים,,,,לבן,ירוק,אדום,חום,,32.7736,35.0494
tirat-carmel,טירת-כרמל,Tirat Carmel,city,haifa,mixed,found,yes,no,23000,עיירה,מגן,חום,מגן,עץ,,,,,,,,,,,מגן עם מסגרת חומה,ציור עץ בצבעי חום על רקע כחול ולבן,,,,,,,חום,כחול,לבן,,,32.7604,34.9697
kiryat-tivon,מועצה מקומית קריית-טבעון,Kiryat Tivon,local,haifa,jewish,found,yes,no,16000,מועצה מקומית,מגן,ורוד,מגן,פרח,,,,,,,,,,,מגן ירוק עם שדה ורוד,איור של רקפת,,,,,,,ירוק,ורוד,,,,32.7281,35.1228
emek-hefer,מועצה אזורית עמק-חפר,Emek Hefer,regional,center,jewish,found,yes,no,42880,מועצה אזורית,מגן,צהוב,מגן,דג,מגדל מים,תפוז,,,,,,,,,מגן עם מסגרת צהובה חצוי לשניים,חלק שמאלי עם דג,חלק ימני עם יישוב מגדל מים ועץ תפוזים,,,,,,צהוב,כחול,,,,32.3719,34.923
gilboa,מועצה אזורית גלבוע,Gilboa,regional,north,jewish,found,yes,no,32165,מועצה אזורית,מגן,ירוק,מגן,גבעה,שדה,פרח,,,,,,,,,מגן עגול עם קסדה וציצה בצורת שופר,נוף גבעות עם שדות חרושים,פטיש עטוף בענפים ופרחים בחזית,,,,,,,,,,,32.4833,35.4
kiryat-malachi,קריית-מלאכי,Kiryat Malachi,city,south,jewish,found,yes,no,25022,עיירה,מגן,לא ידוע,גלגל שיניים,פרח,,,,,,,,,,,פרח הפשתן מסמל את מפעל הפשתן הראשון בעיר,גלגל שיניים מסמל את ענף התעשייה,פטיש מסמל את ענף בתי המלאכה,מאזניים מסמלים את ענף המסחר,ב-2022 אומץ סמליל ממותג לרגל 70 שנה לעיר,,,,,,,,,31.7324,34.7474
tira,טירה,Tira,city,center,arab,found,yes,no,27392,עיירה,מגן,לבן,מגן,עץ דקל,מסגד,ספר,,,,,,,,,מגן עם מסגרת שחורה ושדה לבן,עץ דקל מסגד וספר,הצבעים הם צבעי הלאומיות הכלל-ערבית,,,,,,שחור,לבן,,,,32.2337,34.9497
yehud-monosson,יהוד-מונוסון,Yehud-Monosson,city,tel-aviv,jewish,found,yes,yes,30619,עיירה,מגן,כחול,מגן,דקל,מחרשה,אריה,מוטו,,,,,,1951,,מבוסס על סמל המועצה המקומית יהוד שאומץ ב-1951,משמש את העיר המאוחדת מאז איחוד יהוד ומונוסון ב-2003,גור אריה מסמל את שבט יהודה,ניתוץ שלשלאות מסמל שחרור מכובשים זרים,מבני מגורים ומחרשה מייצגים פיתוח וחקלאות,"""יהודה אתה יודוך אחיך"" (בראשית מ""ט, ח')",לנהלה המקומית בנווה מונוסון יש סמל נפרד עם בית ועץ וקשת בענן,,כחול,לבן,,,,32.0301,34.8888
azor,מועצה מקומית אזור,Azor,local,tel-aviv,jewish,found,no,yes,24000,עיירה,מגן,תכלת,מגן,כוכבים,מבצר,שדה,פרדס,,,,,,1970,,אושר רשמית ב-30 ביולי 1970,פס אלכסוני שחור מסמל את כביש 44,שבעה כוכבים מייצגים את שבעת הנוטרים שנפלו בפריצת הדרך לירושלים,מבנה אבן עתיק מסמל את מצודת המישור ואתרים עתיקים,שיחי צבר מייצגים את הכפר יאזור שננטש במלחמת העצמאות,ב-2022 הוצג סמליל ממותג חדש שאינו מחליף את הסמל הרשמי,,,תכלת,שחור,לבן,,,32.0201,34.8163
beit-dagan,מועצה מקומית בית-דגן,Beit Dagan,local,center,jewish,found,yes,no,7644,מועצה מקומית,מגן,כחול,מגן,מגן דוד,,,,,,,,,,,מגן עם מסגרת כחולה ושדה לבן,מגן דוד עם להבה עולה,ציורי יישוב וקרניים ירוקות,,,,,,כחול,לבן,ירוק,,,32.0025,34.8264
beit-jann,בית-ג'ן,Beit Jann,local,north,druze,found,yes,no,12307,מועצה מקומית,מגן,לבן,מגן,ענבים,הר,,,,,,,,1964,,אומץ עם כינון המועצה המקומית ב-1964,אשכול ענבים נבחר כמוטיב מרכזי בשל הכרמים ותעשיית היין בכפר,דובדבנים נוספו לסמל לאחר קליטת הגידול בכפר,הרים בצבע צהוב מייצגים את מיקום הכפר בגליל העליון ההררי,צבעי הסמל תואמים את צבעי הדגל הדרוזי,שם המועצה מופיע בערבית בראש ובאנגלית בתחתית,,,לבן,ירוק,אדום,צהוב,כחול,32.9556,35.364
bueine-nujeidat,בועיינה-נוג'ידאת,Bueine-Nujeidat,local,north,arab,found,yes,no,10137,מועצה מקומית,מגן,ירוק,מגן,זית,שדה,טרקטור,,,,,,,,,עץ זית מוקף שדות חרושים,חקלאי על טרקטור ופרש רוכב על סוס לבן,,,,,,,,,,,,32.8144,35.3228
ein-mahel,עין-מאהל,Ein Mahel,local,north,arab,found,yes,no,13748,מועצה מקומית,מגן,כתום,מגן,מסגד,,,,,,,,,,,מגן עם שדה כתום,ציור מסגד ושם המועצה בערבית,,,,,,,כתום,,,,,32.7256,35.3636
elyakhin,מועצה מקומית אליכין,Elyakhin,local,center,jewish,found,yes,no,3461,מועצה מקומית,מגן,תכלת,מגן,שמש,עץ,,,,,,,,1990,,אומץ ב-20 במרץ 1990,מגן עם שדה תכלת וציורי בתים ועץ,שמש אדומה זורחת מהחלק התחתון,,,,,,תכלת,אדום,לבן,,,32.4008,34.9217
ganey-tikva,מועצה מקומית גני-תקוה,Ganey Tikva,local,center,jewish,found,yes,no,22694,עיירה,מגן,לא ידוע,מגן,דקל,שדה,מגדל מים,,,,,,,1973,,מגן עם נוף העיר,מגדלי מגורים לצד בתים צמודי קרקע ומגדל מים,עץ דקל גדול על שדות חרושים,,,,,,,,,,,32.062,34.884
hurfeish,חורפיש,Hurfeish,local,north,druze,found,yes,no,6581,מועצה מקומית,מגן,לבן,מגן,,,,,,,,,,1969,,אומץ בספטמבר 1969,מגן לבן עם ציצה מארבעה כובעים בצבעים ירוק אדום צהוב וכחול,צבעי הסמל הם צבעי דגל הדרוזים,,,,,,ירוק,אדום,צהוב,כחול,לבן,33.0183,35.3786
ibillin,אעבלין,I'billin,local,north,arab,found,yes,no,13692,מועצה מקומית,מגן,ירוק,מגן,הר,נחל,עץ,שדה,שמש,,,,,,,הר שממנו זורם נחל לצד עצים ושדות חרושים,שמש זורחת מאחורי ההר,,,,,,,,,,,,32.8475,35.1658
jisr-az-zarqa,ג'סר-א-זרקא,Jisr az-Zarqa,local,haifa,arab,found,yes,no,16000,מועצה מקומית,מגן,לא ידוע,מגן,מסגד,,,,,,,,,,,מבנהו כמגן הפוך על גשר,ציור כפר עם צריח מסגד,,,,,,,,,,,,32.5369,34.9139
kabul,כאבול,Kabul,local,north,arab,found,yes,no,14473,מועצה מקומית,מגן,כחול,מגן,עץ,ענבים,,,,,,,,,,מגן עם עץ על רקע שמיים כחולים,אשכול ענבים לצד העץ,,,,,,,כחול,לבן,,,,32.8408,35.1947
kadima-zoran,מועצה מקומית קדימה-צורן,Kadima Zoran,local,center,jewish,found,yes,no,22920,עיירה,מגן,כתום,מגן,תפוז,טרקטור,שדה,גבעה,ענף,,,,,2003,,אומץ עם איחוד המושבות קדימה וצורן ב-2003,"מבוסס על סמל המושבה קדימה שעליו נכתב ""בעמלך תצעד קדימה""",עץ תפוז מסמל את הפרדסים הרבים באזור,טרקטור וחקלאי חורשים מייצגים את אופייה החקלאי,משולש הפוך במרכז מציג יישוב חקלאי עם שדות וגבעות,הצבעים ירוק וכתום מסמלים יערות ופרדסים,,,כתום,ירוק,לבן,,,32.2694,34.9128
kafr-bara,כפר-ברא,Kafr Bara,local,center,arab,found,yes,no,3856,מועצה מקומית,מגן,צהוב,מגן,ענף,,,,,,,,,,,מגן עם שדה צהוב,חציל ולצידו ענפים,,,,,,,צהוב,,,,,32.2197,34.9644
kafr-qara,כפר-קרע,Kafr Qara,local,haifa,arab,found,yes,no,16000,מועצה מקומית,מגן,לבן,מגן,יונה,חיטה,,,,,,,,,,מגן עם מסגרת אדומה,ציור הכפר מתחתיו יונה ושיבולי חיטה,הסמל מבוסס על ויטראז' במבנה המועצה,,,,,,אדום,לבן,,,,32.5094,35.0197
kfar-kama,כפר-קמה,Kfar Kama,local,north,circassian,found,yes,no,3479,מועצה מקומית,מגן,לא ידוע,מגן,שמש,הר,,,,,,,,1974,,אומץ בנובמבר 1974,פרש צ'רקאסי על סוס שחור על רקע שמש זורחת מאחורי הרים,שם המועצה בעברית ובצ'רקסית,,,,,,,,,,,32.7253,35.4436
kfar-shmaryahu,מועצה מקומית כפר-שמריהו,Kfar Shmaryahu,local,tel-aviv,jewish,found,yes,no,5000,מועצה מקומית,מגן,ירוק,מגן,שדה,פרח,מבנה עתיק,,,,,,,,,מגן ירוק עם שם המועצה בראש,איור של בית שמריהו לוין,שדות ופרח מתחתיו,,,,,,ירוק,לבן,,,,32.1919,34.823
kfar-yona,מועצה מקומית כפר-יונה,Kfar Yona,local,center,jewish,found,yes,no,27898,עיירה,מגן,ירוק,מגן,עץ,חיטה,,,,,,,,1958,,מגן ירוק ולבן עם עץ פרי עמוס בפירות אדומים,הסמל נתמך בשתי שיבולי חיטה משני צידיו,,,,,,,ירוק,לבן,אדום,,,32.315,34.9372
shibli-umm-al-ghanam,שבלי-אום אל-ע'נם,Shibli,local,north,arab,found,yes,no,5000,מועצה מקומית,מגן,צהוב,מגן,הר,שדה,חיטה,שמש,,,,,,,,מגן עם שדה צהוב מוקף שיבולי חיטה,ציור הר ושביל עולה לפסגה,עצים ואוהל לצד השביל,שמש אדומה מאחורי ההר,,,,,צהוב,אדום,,,,32.6028,35.3739
maghar,מג'אר,Maghar,local,north,mixed,found,yes,no,34000,עיירה,מגן,ירוק,מגן,עץ,,,,,,,,,,,מגן עם אבן ריחיים ועץ,צבעי הסמל ירוק ולבן,,,,,,,ירוק,לבן,,,,32.8769,35.4022
mevaseret-zion,מועצה מקומית מבשרת-ציון,Mevaseret Zion,local,jerusalem,jewish,found,yes,no,25000,עיירה,מגן,ירוק,מגן,עץ,הר,,,,,,,,,,מגן עם שדה ירוק,עץ צומח מעל יישוב בין הרים,,,,,,,ירוק,לבן,,,,31.8053,35.1441
mielya,מעיליא,Mielya,local,north,arab,found,yes,no,4000,מועצה מקומית,מגן,לבן,מגן,מבצר,ענף,,,,,,,,,,מגן עם שדה לבן,ציור מבצר המונפור מעל קלף הנושא את שם המבצר,ציורי עלים משני הצדדים,,,,,,לבן,,,,,33.0514,35.3078
yanuh-jat,יאנוח-ג'ת,Yanuh-Jat,local,north,druze,found,yes,no,7000,מועצה מקומית,מגן,לבן,מגן,יונה,זית,,,,,,,,,,מגן עם שדה לבן,יונות עפות מעל מבנה,ענפי זית משני הצדדים,,,,,,לבן,,,,,32.9642,35.2697
brener,מועצה אזורית ברנר,Brener,regional,center,jewish,found,yes,no,8046,מועצה אזורית,מגן,ירוק,מגן,שדה,טרקטור,גלגל שיניים,פרדס,,,,,,,,מגן בצורת יהלום,טרקטור חקלאי חורש שדה על רקע פרדס,שני גלגלי שיניים מאחורי הטרקטור,,,,,,,,,,,31.8611,34.8072
bustan-al-marj,בוסתאן-אל-מרג',Bustan al-Marj,regional,north,arab,found,yes,no,8137,מועצה אזורית,מגן,ירוק,מגן,גבעה,שדה,עץ,,,,,,,,,מגן אליפטי התחום בשני עצים הנוטים אחד לשני,רכס גבעות עם מבנים בפסגות,שדות חרושים בין הגבעות,,,,,,ירוק,לבן,,,,32.8667,35.35
el-batouf,אל-בטוף,El-Batouf,regional,north,arab,found,yes,no,8408,מועצה אזורית,מגן,ירוק,מגן,הר,גבעה,דקל,מבנה עתיק,שדה,חיטה,,,,,,מגן עם מסגרת ירוקה ושדה לבן,הרים גבעות ועץ דקל,הריסות מבנה וחקלאי,שיבולי חיטה משני הצדדים,,,,,ירוק,לבן,,,,32.8333,35.3167
gan-rave,מועצה אזורית גן-רוה,Gan Rave,regional,center,jewish,found,yes,no,6585,מועצה אזורית,מגן,כחול,מגן,שדה,ים,זית,,,,,,,,,מגן עם ציור יישוב לצד שדות חרושים אדומים על חוף הים,מוקף בענפי זית,,,,,,,כחול,לבן,אדום,,,31.7619,34.7061
hof-hasharon,מועצה אזורית חוף-השרון,Hof HaSharon,regional,center,jewish,found,yes,no,14872,מועצה אזורית,מגן,לבן,מגן,שדה,ים,,,,,,,,,,מגן לבן עם שדות חרושים לצד חוף ים,,,,,,,,לבן,כחול,,,,32.3975,34.868
lev-hasharon,מועצה אזורית לב-השרון,Lev HaSharon,regional,center,jewish,found,yes,no,23672,מועצה אזורית,מגן,ירוק,מגן,שמש,שדה,הדר,,,,,,,,,מגן ירוק עם שמש כתומה שוקעת מעל שדות חרושים,ענף עץ תפוז בצד,,,,,,,ירוק,כתום,לבן,,,32.3419,34.9027
merom-hagalil,מועצה אזורית מרום-הגליל,Merom HaGalil,regional,north,jewish,found,yes,no,15892,מועצה אזורית,מגן,ירוק,מגן,עץ,הר,,,,,,,,,,ציור בצבע ירוק בהיר של חופת עצים,נוף רכס הרים ויישוב למרגלותיו,,,,,,,ירוק,לבן,,,,33.0167,35.4667
mevoot-hermon,מועצה אזורית מבואות-החרמון,Mevoot Hermon,regional,north,jewish,found,no,yes,3000,מועצה אזורית,מגן,לבן,מגן,עץ,שדה,הר,,,,,,,,,מגן עם שדה לבן,עצים שדות חרושים ובתים,שתי פסגות מושלגות של החרמון ברקע,,,,,,לבן,,,,,33.25,35.65
zvulun,מועצה אזורית זבולון,Zvulun,regional,haifa,jewish,found,yes,no,16000,מועצה אזורית,מגן,כחול,מגן,גבעה,חיטה,,,,,,,,,,מגן בצורת צריח,נוף גבעות ירוקות על רקע תכלת,שיבולת חיטה לבנה ושם המועצה,,,,,,כחול,תכלת,לבן,,,32.8167,35.0833
gush-halav,גוש חלב,Gush Halav,local,north,arab,found,yes,no,3154,מועצה מקומית,מגן,כחול,מגן,יונה,,,,,,,,,,,מגן בנוי מלבנים לבנות וכחולות,יונה בצבע צהוב במרכז,,,,,,,כחול,לבן,צהוב,,,33.0197,35.4186
kafr-kanna,כפר כנא,Kafr Kanna,local,north,arab,found,yes,no,23705,עיירה,מגן,כחול,מגן,עץ,ענבים,,,,,,,,,,מגן עם עץ על רקע שמיים כחולים,אשכול ענבים לצד העץ,,,,,,,כחול,לבן,,,,32.7461,35.3383
mazkeret-batya,מועצה מקומית מזכרת-בתיה,Mazkeret Batya,local,center,jewish,found,yes,no,15424,מועצה מקומית,מגן מחולק,לא ידוע,מגן,תפוז,ענבים,חיטה,מזרקה,,,,,,,,מגן מחולק לארבעה רבעים,"בית כנסת, עץ תפוז, כיכר עם מזרקה, אשכול ענבים",שיבולת חיטה במרכז,,,,,,,,,,,31.8586,34.7446
zichron-yaakov,מועצה מקומית זכרון-יעקב,Zichron Yaakov,local,haifa,jewish,found,yes,no,25000,עיירה,מגן מחולק,חום,מגן,ענבים,חיטה,עץ,גבעה,,,,,,,,מגן חום מחולק ל-4 רבעים,נבל ברבע עליון ימין,אשכול ענבים ברבע תחתון ימין,שיבולת חיטה ברבע שמאלי תחתון,עץ על שדות וגבעות ברבע שמאלי עליון,,,,חום,לבן,,,,32.5717,34.9556
acre,עכו,Acre,city,north,mixed,found,yes,no,49614,עיירה,מגן מחולק,אדום,מגן,ספינה,דקל,חומה,גלים,מפעל,גלגל שיניים,,,,1950,מרים קרולי,עוצב על ידי מרים קרולי שזכתה בתחרות עם הכרזת עכו כעיר ב-1950,הסמל מחולק לארבעה רבעים,ספינה עתיקה מסמלת את היסטוריית עכו כעיר נמל,חומת עיר נושקת לגלי הים מסמלת את ימי הביניים,מפעל וגלגל שיניים מסמלים את התעשייה,הסמל הופיע על בול דואר ב-1965 בעיצוב האחים שמיר,"ב-2020 נוסף סמליל תחת הסיסמה ""עכו - חצי אי עולם שלם""",,אדום,כחול,לבן,,,32.9271,35.0818
afula,עפולה,Afula,city,north,jewish,found,yes,no,59075,עיר,מגן מחולק,ירוק,מגן,הר,חיטה,שמש,מוטו,,,,,,1958,,אומץ באוקטובר 1958,פטיש על סדן מסמל מלאכה,שיבולת חיטה בחצי הירוק,"הכיתוב ""עיר יזרעאל"" מופיע בתחתית הסמל",הסמל הופיע על בול דואר ב-1983,"ב-2023 אומץ סמליל ממותג עם הסיסמה ""עפולה. סיפור הצלחה יזרעאלי""",,,ירוק,כתום,,,,32.6066,35.2894
even-yehuda,מועצה מקומית אבן-יהודה,Even Yehuda,local,center,jewish,found,yes,no,14266,מועצה מקומית,מגן מחולק,לא ידוע,מגן,שדה,תפוז,,,,,,,,,,מגן מחולק לארבעה,"שדה, תרנגול, עץ תפוזים ומכון תערובת",,,,,,,,,,,,32.2639,34.8884
jaljulye,ג'לג'וליה,Jaljulye,local,center,arab,found,yes,no,10480,מועצה מקומית,מגן מחולק,לא ידוע,מגן,שמש,שדה,מסגד,מבנה עתיק,עץ,,,,,,,מגן מחולק לארבעה רבעים,שמש זורחת מעל שדות חרושים,צריח מסגד,חורבות מבנה קדום ועץ,,,,,,,,,,32.1528,34.9491
kaabiyye,כעביה-טבאש-חג'אג'רה,Ka'abiyye-Tabbash,local,north,arab,found,yes,no,5732,מועצה מקומית,מגן מחולק,כחול,מגן,שמש,גבעה,מסגד,ספר,נחל,שדה,,,,,,מגן מחולק לשלושה חלקים,שמש זורחת בין גבעות בחלק העליון,מסגד ספר ועץ בחלק האמצעי,נחל מוקף שדות חרושים בחלק התחתון,,,,,כחול,לבן,,,,32.7333,35.1833
metula,מועצה מקומית מטולה,Metula,local,north,jewish,found,yes,no,1693,מועצה מקומית,מגן מחומש,ירוק,מגן,שדה,מפל,,,,,,,,,,מגן מחומש מחולק לשניים,שדות חרושים בצד ימין,מפל מים בין הרים בצד שמאל,,,,,,,,,,,33.2783,35.5719
rosh-pina,מועצה מקומית ראש-פינה,Rosh Pina,local,north,jewish,found,yes,no,4000,מועצה מקומית,מגן מחומש,לא ידוע,מגן,שדה,מחרשה,מוטו,,,,,,,,,מגן מחומש עם סצנת חריש בשדה עם שוורים,מבוסס על תצלום החריש הראשון במושבה,האיש החורש בסמל הוא שמיל כץ שצולם בתמונה המקורית,"""אבן מאסו הבונים הייתה לראש פינה"" (תהילים קי""ח, כ""ב)",הפסוק ניתן כהצעה על ידי מייסד המושבה דוד שוב,הפסוק מתייחס לגיא אוני המושבה שקדמה לראש פינה,הסמל הופיע על בול דואר ב-1965 בעיצוב האחים שמיר,,,,,,,32.9686,35.5416
julis,ג'וליס,Julis,local,north,druze,found,yes,no,6657,מועצה מקומית,מגן מחומש,ירוק,מסגד,עץ,,,,,,,,,1969,,אומץ ב-16 בינואר 1969,מחומש עם ציור מסגד ועץ ברוש ירוק,שם המועצה בעברית וערבית,,,,,,,,,,,32.9219,35.1764
tamra,טמרה,Tamra,city,north,arab,found,yes,no,33000,עיירה,מגן מעוגל,לא ידוע,מגן,חיטה,,,,,,,,,1966,,אומץ ב-22 בספטמבר 1966,מגן מעוגל עם ציור שיבולים,שם העיר בערבית עברית ואנגלית,,,,,,,,,,,32.8538,35.1984
emek-hayarden,מועצה אזורית עמק-הירדן,Emek HaYarden,regional,north,jewish,found,yes,no,14390,מועצה אזורית,מגן מעוגל,כחול,מגן,ים,,,,,,,,,,,מגן מעוגל בעל שדה כחול עם ראש מזכיר צריח טירה,מפת הכנרת בלבן כמטען המרכזי,,,,,,,כחול,לבן,,,,32.7,35.6
beit-shemesh,בית-שמש,Beit Shemesh,city,jerusalem,jewish,found,yes,no,130000,עיר גדולה,מגן מעוגל,כחול,מגן,שמש,הר,זית,,,,,,,,,מגן מעוגל עם שדה לבנים צהובות,שמש זורחת בין ההרים בכחול,כף בנאים ופטיש מייצגים את הבנייה,ענף עץ זית בסמל,,,,,צהוב,כחול,לבן,,,31.7459,34.9888
beer-yaakov,מועצה מקומית באר-יעקב,Beer Yaakov,local,center,jewish,found,yes,no,29852,עיירה,מגן מעוגל,כתום,מגן,חיטה,תפוז,שדה,באר,,,,,,1958,,אומץ ב-13 בנובמבר 1958,שיבולת חיטה מחלקת את המגן באלכסון,עץ התפוז מסמל את ענף הפרדסנות,הבאר מסמלת באר רומית קדומה שנחפרה מחדש,הסמל מאפיין את אופיו החקלאי של היישוב שנוסד ב-1907,,,,ירוק,כחול,כתום,,,31.9414,34.8327
pardes-hanna,מועצה מקומית פרדס-חנה-כרכור,Pardes Hanna,local,haifa,jewish,found,yes,yes,40000,עיירה,מרובע,ירוק,גלגל שיניים,מגדל מים,עץ,,,,,,,,1970,,אומץ לאחר איחוד פרדס חנה וכרכור ב-6 באוגוסט 1969,גלגל שיניים מייצג תעשייה,מגדל המים מבוסס על מגדל המים של כרכור,עט כתיבה משולב כגזע עץ ומייצג חינוך,הסמל משלב מוטיבים משני הסמלים ההיסטוריים של היישובים,לפני האיחוד היו לכל יישוב סמל נפרד,ב-2019 לכבוד 50 שנה לאיחוד שונה הסמל זמנית,,ירוק,לבן,,,,32.4716,34.9583
tzfat,צפת,Safed,city,north,jewish,found,yes,no,34000,עיירה,מרובע,כחול,ענף,ציפור,גלים,,,,,,,,1958,,אומץ באוקטובר 1958,צורת הסמל מזכירה ספר תורה ספרדי,קישוטי רימון בראש הסמל יוצרים את הצורה,יונה מסמלת את הר מירון,גלים מסמלים את ים כנרת,ענף זית מסמל את עצי הזית בגליל,לוח צבעים מסמל את קריית האמנים,הסמל הופיע על בול דואר ב-1966 בעיצוב האחים שמיר,כחול כהה,לבן,צהוב,,,32.9646,35.496
usfiya,עוספיא,Usfiya,local,haifa,druze,found,yes,no,15000,מועצה מקומית,מרובע,לא ידוע,פרח,,,,,,,,,,1966,,אומץ ב-22 בספטמבר 1966,מלבן עם זר פרחים מעוגל,"המילה ""שלום"" בליבו",,,,,,,,,,,32.702,35.056
shoham,מועצה מקומית שהם,Shoham,local,center,jewish,found,yes,no,21441,עיירה,מרובע,ירוק,עץ,שמש,,,,,,,,,,,מלבן עם מסגרת ירוקה ושדה לבן,עץ ירוק צומח משם היישוב,שמש צהובה,הצבע הירוק מסמל את נוף היישוב,,,,,ירוק,לבן,צהוב,,,31.9997,34.9452
iksal,אכסאל,Iksal,local,north,arab,found,yes,no,15146,מועצה מקומית,אחר,כחול,הר,שמש,,,,,,,,,,,בצורת משולש עם שדה כחול,ציור היישוב על רקע הרים,שמש זורחת מעל,,,,,,כחול,לבן,,,,32.6806,35.3142
gush-etzion,מועצה אזורית גוש-עציון,Gush Etzion,regional,judea-samaria,jewish,found,no,yes,25000,מועצה אזורית,סמליל,ירוק,עץ,,,,,,,,,,,,האלון הבודד העומד במרכז גוש עציון קרוב ליישוב אלון שבות הוא הסמל,,,,,,,,ירוק,לבן,,,,31.65,35.1167
